SMILES,rdkit_SMILES,Molecular Weight,Molecular Formula,IUPAC chemical name,EPISUITE-compatible SMILES,InChI Code,InChI Key
[H][H],[H][H],2.016,H2,dihydrogen,[H][H],InChI=1S/H2/h1H,InChIKey=UFHFLCQGNIYNRP-UHFFFAOYSA-N
C,C,16.043,CH4,methane,C,InChI=1S/CH4/h1H4,InChIKey=VNWKTOKETHGBQD-UHFFFAOYSA-N
N,N,17.031,H3N,ammonia,N,InChI=1S/H3N/h1H3,InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-N
O,O,18.015,H2O,water,O,InChI=1S/H2O/h1H2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
C#C,C#C,26.038,C2H2,ethyne,C#C,InChI=1S/C2H2/c1-2/h1-2H,InChIKey=HSFWRNGVRCDJHI-UHFFFAOYSA-N
C#N,C#N,27.026,CHN,hydrogen cyanide,C#N,InChI=1S/CHN/c1-2/h1H,InChIKey=LELOWRISYMNNSU-UHFFFAOYSA-N
N#N,N#N,28.014,N2,dinitrogen,N#N,InChI=1S/N2/c1-2,InChIKey=IJGRMHOSHXDMSA-UHFFFAOYSA-N
C=C,C=C,28.054,C2H4,ethene,C=C,InChI=1S/C2H4/c1-2/h1-2H2,InChIKey=VGGSQFUCUMXWEO-UHFFFAOYSA-N
C=O,C=O,30.026,CH2O,formaldehyde,C=O,InChI=1S/CH2O/c1-2/h1H2,InChIKey=WSFSSNUMVMOOMR-UHFFFAOYSA-N
CC,CC,30.07,C2H6,ethane,CC,InChI=1S/C2H6/c1-2/h1-2H3,InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N
[N]=O,[N]=O,31.014,HNO,nitrosyl hydride,[N]=O,InChI=1S/HNO/c1-2/h1H,InChIKey=ODUCDPQEXGNKDN-UHFFFAOYSA-N
NC,CN,31.058,CH5N,methanamine,NC,"InChI=1S/CH5N/c1-2/h2H2,1H3",InChIKey=BAVYZALUXZFZLV-UHFFFAOYSA-N
O=O,O=O,31.998,O2,dioxygen,O=O,InChI=1S/O2/c1-2,InChIKey=MYMOFIZGZYHOMD-UHFFFAOYSA-N
OC,CO,32.042,CH4O,methanol,OC,"InChI=1S/CH4O/c1-2/h2H,1H3",InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N
NN,NN,32.046,H4N2,hydrazine,NN,InChI=1S/H4N2/c1-2/h1-2H2,InChIKey=OAKJQQAXSVQMHS-UHFFFAOYSA-N
NO,NO,33.03,H3NO,hydroxylamine,NO,"InChI=1S/H3NO/c1-2/h2H,1H2",InChIKey=AVXURJPOCDRRFD-UHFFFAOYSA-N
P,P,33.9978,H3P,phosphane,P,InChI=1S/H3P/h1H3,InChIKey=XYFCBTPGUUZFHI-UHFFFAOYSA-N
OO,OO,34.014,H2O2,hydrogen peroxide,OO,InChI=1S/H2O2/c1-2/h1-2H,InChIKey=MHAJPDPJQMAIIY-UHFFFAOYSA-N
C(F),CF,34.0334,CH3F,fluoromethane,C(F),InChI=1S/CH3F/c1-2/h1H3,InChIKey=NBVXSUQYWXRMNV-UHFFFAOYSA-N
S,S,34.076,CH3F,hydrogen sulfide,S,InChI=1S/H2S/h1H2,InChIKey=RWSOTUBLDIXVET-UHFFFAOYSA-N
C1=CC1,C1=CC1,40.065,C3H4,cyclopropene,C1=CC1,"InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2",InChIKey=OOXWYYGXTJLWHA-UHFFFAOYSA-N
CC#C,C#CC,40.065,C3H4,prop-1-yne,CC#C,"InChI=1S/C3H4/c1-3-2/h1H,2H3",InChIKey=MWWATHDPGQKSAR-UHFFFAOYSA-N
C=C=C,C=C=C,40.065,C3H4,"propa-1,2-diene",C=C=C,InChI=1S/C3H4/c1-3-2/h1-2H2,InChIKey=IYABWNGZIDDRAK-UHFFFAOYSA-N
C1=CN1,C1=CN1,41.053,C2H3N,1H-azirine,C1=CN1,InChI=1S/C2H3N/c1-2-3-1/h1-3H,InChIKey=ZHKJHQBOAJQXQR-UHFFFAOYSA-N
N#CC,CC#N,41.053,C2H3N,acetonitrile,N#CC,InChI=1S/C2H3N/c1-2-3/h1H3,InChIKey=WEVYAHXRMPXWCK-UHFFFAOYSA-N
C[N+]#[C-],[C-]#[N+]C,41.053,C2H3N,isocyanomethane,CN#C,InChI=1S/C2H3N/c1-3-2/h1H3,InChIKey=ZRKSVHFXTRFQFL-UHFFFAOYSA-N
C1=CO1,C1=CO1,42.037,C2H2O,oxirene,C1=CO1,InChI=1S/C2H2O/c1-2-3-1/h1-2H,InChIKey=BJEYNNFDAPPGST-UHFFFAOYSA-N
N#CN,N#CN,42.041,CH2N2,cyanamide,N#CN,InChI=1S/CH2N2/c2-1-3/h2H2,InChIKey=XZMCDFZZKTWFGF-UHFFFAOYSA-N
C(C1)(C1),C1CC1,42.081,C3H6,cyclopropane,C(C1)(C1),InChI=1S/C3H6/c1-2-3-1/h1-3H2,InChIKey=LVZWSLJZHVFIQJ-UHFFFAOYSA-N
